,phrase,skill
236,javascript,1
2176,asp.net/ c,1
193,computer graphic designer,0
2280,ms windows 2003,0
1326,iig title,0
49,order,0
157,data,0
1588,administrate,0
76,Demographers,1
878,MSSQL,1
17,php,1
1685,water management,0
782,Database,1
890,siebel,0
223,keeps,0
852,LAN administration,1
786,administrating,0
1434,caucasus regional,0
1031,point-to-multipoint,0
213,handled,0
37,national population projections,0
29,cv,0
208,CV,0
893,speaking,0
212,rup,0
1950,hr associate,0
816,nairisoft inc,0
1017,photo,0
1540,programmer/ project developer announcement code,0
2323,/ c++ software developer term,0
262,togetherj,0
1949,p. adamyan str,0
182,fair,1
2024,jmeter,0
755,polytechnics,0
1992,mysql innodb,1
525,protection systems,1
166,location,0
883,multiple priorities,0
601,Good speaking,0
2441,amd +,1
1539,armeconombank title,0
116,html/xml,1
2251,wood treatment,0
2497,yerevan branch title,0
1320,delphi programmer announcement code,0
1941,undp resident representative,0
1035,rural lending,0
2130,ic cad,0
200,khorenatsi,0
296,Diligence,0
1577,grant thornton international,0
2307,php/ mysql,1
2272,irex armenia 29,0
1847,unix systems administrators,0
788,srpms,1
20,please,0
1255,undp armenia country office,0
925,various SQL versions,1
903,damaris title,0
759,high school grades,0
804,processing,0
795,Illustrator,0
705,programs,0
83,studio .net,1
1484,math/geometry,0
169,jsp-java servlets,1
698,international organizations,0
958,server developer location,0
352,Kachgrind,1
1740,message queuing,0
1361,acl,0
131,selected,0
1972,address,0
235,tuning,1
1880,j2ee software engineer/ developer term,0
2339,hspice,0
492,reactive security,1
2355,wireless,0
1566,delphi 6,0
1297,quality assurance engineer announcement code,0
486,6-7 years,0
1879,Feb-06,0
1474,server 2003,1
422,write,0
803,ms visualc++,1
531,deliver,0
932,workflow,0
1804,ris,0
159,current industry technologies,1
748,Basic English language skills,1
2391,data base management systems,1
2096,ajax,1
119,appropriate,0
415,korioun st.,0
503,shushan,0
23,Population projections,1
1436,united states,0
723,automatic system administration work,0
768,southtech consulting,0
769,operating office equipment,0
1245,intel pentium pcs,0
1477,cisco,1
1289,icdl,0
725,Basic communication skills,1
1004,version 7,1
144,APPLICATION DEADLINE,0
452,ICQ,1
1433,web designer/developer,0
978,web services,1
13,letters,0
1062,Postgres,1
1217,microsoft applications,1
1532,market,0
480,desired,1
1161,masters,0
882,lg-005,1
107,inc. synergy,0
2303,crystal reports,1
1869,ltd title,0
790,jni,1
728,interpret,0
365,tbd application procedures,0
1323,quickreports,0
916,Excel,1
590,italy,0
626,training classes,0
852,itdc,0
1060,organizational systems,0
716,asp/asp.net developer location,0
1781,limush printing house,0
935,verbal communications skills,0
86,netmen ltd. job title,0
793,Macromedia suite,1
735,graphic software,1
1199,thomas twining llc title,0
2445,development skills,0
310,resume,0
66,JUnit,1
930,MS Visual Basic,1
1503,oracle database,1
1420,flash action scripting programmer,0
2400,asp.net c,1
309,amd,0
998,graphic,1
1082,create,0
226,sax,1
1075,physical design automation,0
246,security processes,1
2197,asap location,0
927,law/courtroom procedures,0
718,firewall systems,1
297,design software engineer start date/ time,0
1294,baghramyan avenue,0
203,russia job description,0
1274,ms. aida ghazaryan,0
490,OS security concepts,1
694,reproductive health,0
364,EDA,1
1228,html/ php/ mysql,1
412,unix/linux system administration,1
1681,ms. ani chibukhchyan e-mail,0
1627,programming within web applications,0
1954,imsma,0
1359,proxy,0
1205,iis,0
106,travel,0
61,Participants,0
467,mx llc title,1
4,c++,1
1134,web master,0
2404,application form,0
7,networking tcp/ ip,1
380,web designer/ developer,0
1499,agricultures,0
221,basic java,1
2034,credit specialist start date/ time,0
2150,oral,0
937,mfc,1
2374,prime,0
44,DHS,1
662,windows nt/2000/xp,1
1651,vhs,0
1534,html/dhtml,1
5,Networking TCP/ IP technologies,1
67,Log4j,1
339,dc,0
414,ms. anahit sargsyan office manager synergy international systems,0
873,undp,0
1031,complemented,0
617,proficient,0
167,web developer/ programmer,1
1502,database administrator term,0
2437,graphics,0
1558,java developer term,0
1905,html programmers / english,1
576,personnel,0
38,macromedia freehand,0
2071,deputy chief,0
1260,law enforcement agencies,0
1993,makefiles,0
1755,web services specifications,0
1614,yerevan 375001,0
25,swift,1
1789,micsrosoft sql server 2000,1
211,b2b,0
1021,Apache web server,1
2153,jewelry manufacturing technical specialist location,0
65,health,0
744,Object Oriented MS Windows C++ development,1
569,usd + bonus,0
1123,he/she,0
1834,mp,0
514,accounting,0
662,maintaining,0
647,Beginners,0
1069,IBM Portal Server,1
1979,ccna,0
430,computers,0
2215,experimental llc title,0
1852,retrieval solutions,0
940,.net senior developer / architect announcement code,0
1066,IBM Web Sphere,1
1277,agreement,0
460,automatic phone station panasonic,0
2212,lg020,0
553,formal software development,0
944,java developer announcement code,0
289,data base software junior engineer start date/ time,0
686,architecture,0
2234,javaxq,0
300,General education,0
33,vital statistics data,0
568,technical education,0
2397,vb/ vba,1
587,lycos europe,0
917,it/ database specialist start date/ time,0
2252,artistic,0
421,technical documentation,1
1630,software engineers java,0
1125,accept emloyment agency,0
964,barents group llc,0
920,Net,1
1019,emerging,0
1391,software developer 2,0
386,applied mechanics,0
1140,hardware,0
1817,gis/ spatial databases/ postgis,0
2278,trade house euroset,0
104,qualified,0
1701,hylink jsc title,0
326,united arab emirates job description,0
880,TCP/IP protocol,1
6,server,0
183,organizational skills,1
709,web developer location,0
1040,Feb-05,0
671,action script,1
1637,lit consulting,0
110,bachelor,0
82,automation,1
1500,marketing assistance project,0
2204,studio max,1
926,Apache Tomcat,1
22,python,1
1512,vector,0
683,prepared work,0
989,technician/electronic hardware specialist,0
853,website content manager,0
2249,metal,0
515,inventory,1
2157,announcement title,0
2052,java development,1
2199,ethical,0
2039,credit manager,0
822,supervised,0
912,chief,0
1367,mbr,0
2106,attractive,0
981,client-side Java Script/HTML/XML,1
689,oo,1
950,vhf,0
2173,metacortex,0
905,author,0
96,ltd.,0
2255,modeling,1
2482,soft llc title,0
2335,silicon canvas laker,0
1073,Computer graphics,1
83,English language,1
1792,visiquest,0
977,web-based applications,1
1224,eurasia foundation representative office,0
1041,java senior developer/ architect announcement code,0
474,MySQL programming languages,1
1283,united kingdom,0
613,dbms,1
2079,ahtc,0
1686,national water program,0
1682,ani.chibukhchyan,0
1014,information technology,0
874,eu/tacis,0
1877,vb software developer,0
522,system integration tools,1
959,computer modeling,1
288,Ant,1
2481,ide,0
322,Web Services,1
796,software developer/ lead developer announcement code,0
2312,frisk,0
943,com-to-.net,1
2284,chemonics international inc,0
187,saryan st. 2,0
772,Administrating,0
1107,desired,0
1560,webb fontaine holding sa,0
1036,development work,0
903,examples,0
887,enhancements,0
562,large systems,0
471,related fields,1
1650,premiere pro,1
704,coordinate,0
1889,kpmg moscow office,0
1424,sql professional open to/ eligibility criteria,0
10,askell,1
2033,areximbank cjsc title,0
784,odbc,1
1254,local area network,0
1619,irex-,0
54,days,0
72,REST,1
1759,Dec-05,0
913,party,0
190,olympia group,0
1093,glandale,0
32,kdb,1
1724,solution developer/ project manager start date/ time,0
894,facility,0
357,technical literature,1
529,mozilla,0
797,case,0
307,new products,0
962,MFC,0
929,servers,0
279,JavaScript,1
1325,fastreports,0
987,technician/ electronic hardware specialist term,0
828,Labor,0
1985,unix systems admin_arm.doc,0
831,Central Bank by-laws,0
910,development alternatives,0
586,budgets,0
163,Working,0
384,allaire homesite,1
594,europe,0
615,database development,1
787,redhat rpms,1
1008,make,0
269,Resin,1
309,time,0
167,J2EE development,1
1643,television,0
303,problems,0
1896,kpmg,0
1832,repair,0
239,ms sql server 2000,1
1104,developers team leader,0
700,degree within graphics,0
1340,armex,0
411,georgian,0
1657,flash mx,1
1063,child health,0
395,machining,0
2327,arwest communications,0
747,area network administration,0
1449,c/c++ software developer announcement code,0
75,february 20th,0
385,adobe aftereffects,1
822,unicad,1
1885,discuss,0
371,umcor armenia title,0
189,PLSQL,1
1482,no.4/ adtech,0
690,mvc,1
387,Minimum,0
455,french,0
2221,apache +,1
623,UNDP,0
485,child admission procedure,0
678,unix systems,1
1003,macromedia flash mx 2004,1
9,visual basic 6,1
1214,network administrator location,0
177,mssql,1
1696,identify,0
1435,heifer international,0
34,graphic designer,0
324,Oracle9i Application Server,1
2288,chemonics,0
914,donor,0
2146,media documentary,0
508,Applied Mathematics,0
591,netherlands,0
2435,microsoft visual studio 2003/2005,1
597,loan,0
963,COM/ATL,0
1562,karapetyanner,0
45,C++,1
2166,biztalk,0
1986,application_arm .zip,0
562,servlets,1
50,jQuery,1
909,grants,0
15,Yerevan,0
1447,boomerang,0
80,cit ltd. job title,0
837,prefer,0
205,java/web,1
1179,automated administration,0
832,Database Management Systems,1
2326,database programmer,0
922,ibm,1
2000,uddi,0
2088,mvc/ struts,1
2245,products art design,0
849,.NET,1
1809,terminal services,0
1038,farm,0
1813,massachusetts,0
2042,windows 2000/windows,1
1336,senior software engineers,0
14,max MSP,1
191,Java programming language,1
87,developers position location,0
624,EU/TACIS,0
1669,caps,0
669,operation,0
1333,hr,0
1878,vba,1
1444,lg011,0
2175,programmer location,0
683,oracle database administrator location,0
883,firmplace corporation title,0
171,C++/Visual C++,1
1952,information management system,0
1234,python developers,0
503,latitute,0
825,silicon valley,0
2100,test developer location,0
2259,automated test department location,0
345,Python,1
214,design patterns,0
2180,web site application deployment,1
2154,designers,0
14,week LOCATION,0
247,performance,0
280,ic design,0
518,flash active scripring,1
376,community health care department umcor-armenia 14,0
15,#NAME?,0
651,postgresql servers,0
2045,letter,0
780,advanced html,1
715,systems components,0
339,TCL,1
925,struts,1
1827,pos terminal,0
2135,tcp/ ip,0
1875,ole,0
901,survey results,0
504,llc,0
870,pragma corporation title,0
2457,web databases,0
1763,computer science/electronic engineer,0
134,follows,0
14,diploma,0
1959,applied math,0
1282,vazgen sarkissyan,0
1456,madrid,0
243,fundamental data modeling rules,1
854,office programs,0
2116,epygi labs technical support,0
517,flash active scripting programmer location,0
403,Russian,0
621,armenia school connectivity programs,0
1352,software development manager announcement code,0
106,software developer,0
500,designer term,0
674,routers,1
2276,administrative manager,0
2369,plastic cards technical specialist,0
2086,idl,1
118,coffee breaks,0
188,Database design,1
737,core skills,1
724,shell scripts,1
420,read,0
755,office productivity applications maintenance,1
25,needed,0
215,contacted,0
897,remedy mid-tier,0
1083,reusable software components,1
459,n/a job responsibilities,0
1737,program-in-chief,0
988,mid january location,0
1265,profound,0
449,MS Office,1
1495,quicken,0
874,system development,1
735,bc,0
824,cad,1
839,db programmer term,0
942,remoting,1
400,georgia job description,0
241,XML,1
1122,graphic designer announcement code,0
197,quark,0
1063,DB2,1
1994,globalsoft,0
314,kotaik,0
1507,enterprise edition,0
1494,strategic result framework,0
1354,hardware service,0
911,website/ network administrator start date/ time,0
921,sun,1
2137,asp.net/c,1
1357,compiling,0
1571,state tax service,0
821,entities,0
2144,php developer term,0
186,nairy jivanian,0
353,PureCoverage,1
915,dai,0
1660,indesign cs,0
863,scanners,0
1455,intermediate,0
1223,visit,0
74,mid-level professionals,0
475,developer location,0
198,network,1
243,clearquest,0
851,website content manager location,0
729,sunday,0
2124,layout design engineer,0
108,starting,0
386,quarkxpress,1
259,Basic Java packages,1
483,good,0
434,technical specifications,1
24,provide,0
2492,window operating systems,1
1443,mapi,0
1266,conditions,0
284,lef,0
2189,database development specialist location,0
1518,digital design engineer,0
1229,eurasia foundation 4,0
646,software engineer / senior software engineer start date/ time,0
2149,design department,0
1465,java/php,1
287,assembly,0
2317,ceo,0
660,administering,1
457,network administrator announcement code,0
1921,christine bessalian,0
350,java web development,1
2463,mcsa,0
449,maintain,0
628,php/mysql data,1
147,job,0
1711,websoft technologies title,0
173,xhtml,1
1466,jsp/servlets/,1
305,research works,0
269,bash,1
1076,software systems,0
165,complex database systems,1
1369,tamara zakaryan,0
1018,Java Script,1
2409,sw ui,0
1432,dream viewer,1
2421,credit armenia title,0
484,SOAP,1
418,candidates,0
501,time intended audience,0
1258,project associate,0
95,apply,0
446,diagnostics methods,1
2242,industrial technologies co,0
282,Transact SQL,1
142,development,0
656,admin,0
99,COURSE OVERVIEW,0
753,intranet management,1
1171,transcript,0
2306,asp/ mssql,1
1091,iig llc,0
1573,united states agency,0
786,tomcat/jboss,1
294,Rational ClearCase,1
1687,visiquest software system,0
2464,voice ip network ltd title,0
261,J2EE,1
1585,wml,1
1152,database manager location,0
1207,server technologies,1
1011,Extended,0
557,large Web systems,1
1520,click web design llc title,0
429,boomerang software llc title,0
1862,computer sciences/ software engineering,0
1857,export,0
69,projections,0
574,supervising,0
600,hours,0
1143,foreign ministry,0
2466,info,0
1596,aptitude,0
685,arts,0
774,linux administrator/ developer term,1
1729,/sql server programmer open to/ eligibility criteria,0
691,singleton,1
126,cover,0
1281,ms access,1
394,technical manager,0
809,sef,1
986,arahet development llc title,0
1051,markets group title,0
934,scm,0
1073,c++/stl,1
1262,high-tech security solutions,0
2030,ararat,0
2118,abelyan str.,0
637,discharged,0
572,Economics,0
757,play,0
2381,impeva labs,0
742,erp,0
1802,dfs,0
206,e-mail,0
146,place,0
61,Eclipse,1
2061,emg,0
248,visio java,1
653,Radio Engineering,0
656,RF design,1
68,united states census bureau,0
176,dbs,1
358,site performance,0
1089,reading,0
622,World Bank,0
447,gained,0
581,france,0
1673,web programmer/ coder term,0
2266,lan/ wan,1
1362,main,0
1062,usaid rural reproductive health/maternal,0
789,website development,1
661,installing,0
213,rational,0
864,data base- sql,1
12,javascript,1
1259,criminal intelligence software,0
2217,servlet 2.2,1
31,scala,1
1304,institute,0
1345,male,0
348,Tools,1
657,announcement code,0
796,Macromedia Flash,0
408,Flash,1
1013,Additional Qualifications,0
1394,nairisoft,0
1166,laws,0
2143,smart units llc,0
1237,education projects piu,0
1537,lg012,0
432,translating,0
909,as400,1
86,government,0
41,data,0
381,macromedia dreamweaver,1
2074,phcr,0
396,enterprise lending programme,0
2447,web site application,0
1442,windows active directory,0
4,Server,1
3,sql,1
1025,audio,0
2418,ms sql database developer start date/ time,0
758,advanced,0
701,abg title,0
754,web site maintenance,1
126,contact CRRC,0
1301,tsql,1
1535,linux/unix platforms,1
1796,windows 9x/2000/xp,1
1355,network specialists start date/ time,0
713,dsl internet,0
189,cell,0
498,procedures,1
2485,electrical/computer engineering,0
353,java script,1
2191,database development specialist,0
75,Statisticians,1
663,bsd,0
921,ASPX,1
404,Armenian languages,0
1580,commerce,0
906,fill,0
2084,iso 9002,0
2147,design studio title,0
490,sos mothers,0
459,image/graphics,1
120,Potential candidates,0
635,woman,0
621,USAID,0
271,JBoss,1
2089,jstl,1
291,c++,1
2233,voip technologies specialist,0
1427,minimum bachelor,0
544,architect location,0
1745,integrien international yerevan branch title,0
967,coding,0
599,system,0
891,Sociology,0
373,umcor armenia,0
443,administer nt \ windows 2000,1
589,denmark,0
1578,armenia tax improvement program,0
363,Electronic Design Automation,1
2396,redinet cjsc,0
2246,art sciences,0
676,corporate unix,0
730,technical procedures,0
1027,Apache module,1
344,Jun-04,0
718,senior developer,0
911,get,0
1387,ms. anahit sargsyan office manager,0
370,domains,0
831,home site,0
496,villages,0
664,LANs,1
1056,Unix systems,1
210,acra @,0
1557,webb fontaine armenia title,0
919,Visual Studio,1
474,boston,0
721,los angeles,0
132,CRRC,0
2128,drc/ lvs,0
158,software development,0
1018,freehand,0
763,c++/c,1
2504,c++ builder,0
329,log4j,1
590,maintain,0
640,php trainer location,0
1368,nork center,0
401,painting,0
152,atmailbox @,0
2383,ood/ oop,0
452,html/xml/css/javascript,1
1286,computer driving licence,0
1506,java 2,1
953,release methodologies,0
2241,arcgis 8.x/9.x,0
793,oracle app server,1
204,skills,0
2351,senior qa engineer,0
463,progressive web design,1
1586,linux os,1
946,arwest communications corp,0
1423,esoft llc title,0
182,detail,0
813,possess,0
377,karapet ulnetsi yerevan,0
181,attention,0
162,click,0
1006,flash action scripting 2.0,1
58,analytical report,0
1661,quark express,0
2315,balasanyan design bureau title,0
1928,quickly,0
2185,solution,0
1709,junitee,1
699,graphics designer location,0
560,java programmer,0
497,practices,0
1288,international computer driving licence,0
1372,resource/ software development director location,0
1511,ibm portal server,0
2296,offshoresoft.de gmbh,0
998,Minimum Bachelor,0
296,semiconductor,0
3,c,1
1920,abelyan street,0
2337,ic circuit design engineer term,0
639,Development C/C++,1
973,Strong problem-solving,1
466,PHP,1
1544,senior .net developer,0
1159,analyse,0
771,Strong communication skills,1
2225,javascript/ php software developer start date/ time,0
867,rdbms,1
1086,hardware development,0
113,jsp/ servlets,1
843,expierence,0
1441,adsi,0
629,systems,0
2439,object oriented analysis/ design,1
2450,aua center pbx,0
1820,microsoft sql,1
596,mobile,0
1720,mcsd,0
2062,mis specialist,0
1268,project team,0
2505,personal registration,0
810,develops,1
1903,yahoo,0
536,Demonstrated,0
1350,canada,0
388,harmony,0
1038,hdlc,1
34,mongodb,1
739,draw,0
1640,marketing manager,0
26,health programs monitoring,1
995,detailed,0
625,EBRD,0
999,InterBase,1
448,applyed programming,1
654,lycos services,0
23,thanks,0
1102,zenteq.am title,0
90,Education,0
611,High degree,0
111,Classes,0
40,Oracle Flexcube,1
93,strong ooa,0
825,according,0
1066,intrahealth international,0
806,programming etc,0
2,bash,1
1130,california,0
2066,marzes,0
516,related field,0
1976,unix systems administrator,0
678,ensure,0
1680,management program attention,0
1015,Enterprise,0
1589,uae title,0
84,rosa karapetyan,0
2099,cqgi title,0
1284,northern ireland title,0
11,Caucasus Research Resource Center,1
632,Bachelor Degree,0
603,Georgian,0
918,dsl,0
1710,cactus,1
2213,kifato,0
332,network administrator term,0
2325,database programmer location,0
482,takes,0
957,system security issues,0
276,preferred,0
251,UML,1
1727,kre consulting,0
898,conducting,0
1818,agrian-armenia,0
1513,soa,0
751,database maintenance,1
71,saturday,0
1947,e-mail,0
27,wolfram language,1
1082,job,0
331,JBuilder,1
1971,voip,0
217,grasp,0
298,duty,0
2044,xerox,0
1769,p.m november 15,0
67,course overview,0
965,modelling,0
1679,swcif,0
1554,abm soft prof ltd.,0
654,Computer Engineering,0
604,number one,0
69,Version Control,1
530,internet explorer,0
335,win 2000,1
1027,software development team leader location,0
384,specialization,0
623,state,0
178,multi-task environment,1
940,either Java and/or C++,1
2318,web-application,1
2256,solid works,1
1584,holland,0
808,skills,0
899,reports,0
752,mail server management,1
287,e-z-cad,0
616,and/or network administration,0
533,C++/C,1
2361,bs/ms/phd,0
112,held,0
1017,DHTML interfaces,1
1094,c++/ c,1
1403,senior java tester,0
71,including,0
815,tigran hayrapetyan,0
666,routing,1
306,microsoft,0
402,Microsoft office Suite,1
2471,liana mikayelyan,0
1006,Active Data Objects\ADO,1
406,unit,0
2289,heating project,0
954,technical support,0
616,zenteq,0
1052,external clients/stakeholders,0
2127,cmos,0
1851,tape backup,0
1204,com/com+,1
2114,hw/ sw,0
2032,meghradzor,0
1773,art studies,0
2040,areximbank cjsc,0
1412,qa manager,0
1635,usda map,0
882,scripting tools,0
19,represent,0
328,studio.net,1
24,sml,1
312,arqell cjsc,0
2013,agriculture credit specialist location,0
1356,nat,0
204,tops bi,0
184,cv/ resume,0
244,techniques,1
493,village,0
2393,telecommunications company,0
415,problem solving/ trouble,1
1935,united nations development program,0
1742,database architect/ developer term,0
70,tuesday,0
732,market developer location,0
1629,jsps,1
545,salary,0
207,oracle9i/10g,1
249,year,0
2484,synopsys armenia title,0
253,GoF,1
1335,software engineers announcement code,0
862,jst/servlet,1
567,db-design,1
349,Purify,1
1486,handle,0
939,basic,0
714,.am,0
2398,vb/ sql,1
421,c/c++,1
1735,medium business programs developer term,0
202,moscow,0
1278,Mar-30,0
613,Applicants,0
120,inc.,0
960,gaming company,0
61,statisticians,0
1439,collaboration data objects\cdo,1
907,Grant documents,0
418,learn,0
48,fax,0
44,cvs,0
585,apache,1
543,COM,0
65,Core Java,1
340,Perl,1
305,solidworks,0
684,portfolio,0
1707,hibernate,1
382,B.S,0
1020,techno music,0
729,professional journals,0
776,Adobe Family,1
42,Demographic,0
2004,software development services,0
987,Practical knowledge/programming,1
1936,human trafficking,0
2162,india job description,0
2429,software tester term,0
1188,java/c++/php software developers start date/ time,0
131,oracle,1
1749,jakarta tomcat,0
1196,clerp,0
2094,mozilla/ firefox,0
334,Must,0
35,gd,0
865,spl,0
1955,lisa,0
302,head,0
1316,radiation safety centre cjsc title,0
2055,lg018,0
50,maximize,0
57,united nations,0
1612,officer,0
1170,social identification card,0
359,oral communication,1
107,diem allowances,0
994,Attentive,0
1778,zeitun,0
70,RESTFull,1
1490,loan approval committee,0
1376,vagarshyan str.,0
2469,core media support program chief,0
72,Armenia,0
972,lans,1
906,bachelor degree,0
507,photoshop graphic web designer location,0
1989,systems administrator_arm.doc,0
986,Java development,1
1481,dart enterprise,0
1025,thorough personality,0
564,develop,0
2277,irex europe,0
692,and/or implementing policy reforms,0
2131,spice,0
952,fcc,0
1321,delphi,1
631,ph-armenia technical manager,0
1238,cfep,0
827,eda cad,0
10,English,0
317,RMI,1
1772,art design department term,0
494,organizational,0
923,packages,0
12,procedures,0
513,Familiarity,0
1829,pos,0
499,web programmer,1
1821,cch network,0
773,Using,0
840,ms sql,1
663,troubleshooting,0
2342,iom,0
772,ez publishing,1
526,web design,1
896,graphs,0
1662,ra please,0
176,work,0
1692,karart cjsc title,0
2362,ac,0
607,lycos chat start date/ time,0
1849,fiber bus adapted storage management,0
1129,margasoft,1
1053,analyst,0
185,attn,0
0,University,0
1034,engineering,0
688,Law,0
666,lg-003,0
902,Dec-04,0
427,NT/2000/XP,1
846,assurance engineer,0
321,JNDI,1
1969,software development director start date/ time,0
1241,system experts,0
1,degree,0
59,series,0
168,JSP/ Servlets,1
393,engineering processing,1
1966,cee,0
1154,financial intelligence unit,0
1309,analyst/project developer,0
252,ejb,1
1524,apg,0
7,Visual Basic,1
1382,software developer 3,0
97,NGOs,0
420,senior programmers,0
84,required,0
1545,lg014,0
588,multi-national staff,0
1460,synopsys,0
868,accept employment agency,0
432,abelyan st. 375038,0
876,html specialist,0
423,microsoft.net,1
467,MySQL programming,1
56,u.s. census bureau,0
1925,altova stylevision,0
485,Computer Sciences,1
2174,sada systems armenian branch title,0
657,engineering,0
1973,integrate,0
1077,SOA,1
60,asia,0
612,inc. job responsibilities,0
1300,java application servers,1
697,sql server 2000,1
1230,demirchyan street,0
1190,php software developers start date/ time,0
1480,adserving,0
702,java developer duration,0
1235,distributed network,0
1909,lg016,0
1094,source,0
1914,cs/ ee,0
1689,posix,0
174,ASP/PHP,1
2057,software developer announcement code,0
1841,social insurance,0
426,Windows Server/Workstation administration,1
170,php,1
996,rdbms ms sql server,1
936,c++ senior developer announcement code,0
1339,stock exchange,0
2015,agriculture credit department manager,0
2489,vested development inc,0
2496,virage logic international,0
134,armenian,0
1338,lg008,0
324,verisoft emirates title,0
2430,mercury winrunner/qtp,0
1582,ra title,0
847,MS development tools,1
2456,synergy,0
1826,atm,0
2365,cats,0
253,jta,1
1208,technologies,0
1891,programmer/ developer,0
1850,configuration,0
1256,May-05,0
278,analysis,1
101,@,0
913,excessive oversight,0
2313,powerpoint,0
1565,software developer term,0
826,mountain view,0
320,cit ltd title,0
1790,highway 25,0
721,LANS,1
917,Internet Explorer,1
2267,unix/ linux,1
2425,usda fas,0
1719,.net developer,0
308,usd,0
425,information technology field,1
1164,banking,0
2436,pxall studio title,0
6,MS SQL,1
413,contact info,0
757,upgrade,0
472,ms sql relevant,1
45,vital statistics,0
1001,SDLC,1
2021,tester/ quality assurance engineer term,0
547,Basic English skills,1
1191,java software developers start date/ time,0
318,jsp/servlets,0
1751,jsp servlet,1
670,database systems,1
902,Available writing samples,0
2060,Apr-06,0
769,armenia branch title,0
812,typologies,0
307,suite,0
2265,irex armenia director,0
479,Academic degree,1
1087,iig llc title,0
624,bureau,0
938,implementation,0
521,dhtml application procedures,0
1440,active data objects\ado,1
2300,dwg/ autocad,0
2480,ice,0
2059,spyur,0
549,women,0
760,windows c++/c,1
256,application server,1
2443,systems ltd,0
356,free use,0
980,practical knowledge/programming,0
979,JSP/Servlets/JSF/JDBC,1
2058,borland c++ builder 6,0
177,pressure,0
1583,business platform,0
1016,macromedia flash mx,0
271,purify,0
548,Jul-20,0
69,march 9th,0
302,understand,0
121,APPLICATION PROCEDURES,0
1231,armenia ph./fax,0
1766,java server faces,1
585,operational planning,1
884,mssql 2000,0
838,and/or Windows,0
850,VB .NET,1
652,lycos test center start date/ time,0
135,Caucasus Research Resource Centers-Armenia,0
787,Strong communication,0
1090,software developer/programmer,0
2386,lg021,0
475,busy environment,0
22,url,0
403,ebrd,0
1800,dynamic host configuration protocol,0
1723,georgia,0
1058,Software Architectures,1
1618,irex/armenia,0
658,armenia start date/ time,0
66,staff,0
1415,zvardnots,0
659,linkgard,0
887,Requirements,0
2002,altacode ltd.,0
506,lycos europe title,0
1380,accusoft corporation,0
509,tool,0
546,software,0
2302,framework vb.net,1
84,vb,1
1812,"abelyan st.,375038",0
670,php/mysql,1
809,Basics,0
956,Unix systems administration,1
860,up/using peripheral computer,0
531,html web designer location,0
658,networking software,1
2282,ms exchange,1
1202,web technologies,1
2181,sql server 2000/ 2005,1
673,modems,1
292,Additional,0
481,C/C++,1
968,as/if,0
1020,standarts,0
316,aspo,0
1280,hsbc bank armenia,0
2155,technical specialists,0
165,May-04,0
2109,software engineer start date/ time,0
1655,_javascript,1
53,demographic,0
46,yerevan 375010,0
429,assembling,0
842,db2,1
1314,assurance engineer announcement code,0
198,must,0
2065,team,0
315,republic,0
199,organizes,0
2476,bscs,0
1303,highly,0
1543,vardan gspoyan,0
283,Oracle,1
642,august,0
83,vb.net,1
597,messenger,0
1835,hi tech title,0
419,b,0
1706,o/r mapping,1
1683,institutional,0
73,crrc,0
1203,microsoft technologies,1
445,SCS network technologies,1
444,systems,0
268,DOM Application servers,1
162,related tools,1
778,redhat,1
1913,oracledatabase @,1
21,processing,1
258,J2SE,1
1611,arevik petrosyan,0
1828,atms,0
1797,network environment,0
23,ruby,1
1028,dsp,0
1911,oracle database administrator,0
1659,optional,0
416,shooting,1
1079,design department software engineer,0
123,game developer specialist position location,0
744,application form.doc,0
1393,alluring application procedures,0
1438,outlook object model,1
150,organization,0
614,.net,1
1118,pm,0
579,lycos mail,0
2314,lotus notes,0
251,rmi,0
2043,vb6.0,0
598,tracking,0
2416,search engine optimization specialist announcement code,0
505,State Engineering University,0
1142,foreign ministry title,0
465,icq,0
746,cascade capital holdings,0
760,requested,0
1111,cafesjian family foundation,0
155,Bachelor,0
1937,project,0
1639,graphics designer announcement code,0
842,economics,0
40,focus,0
1591,dubai,0
2226,write javascript,0
1912,oracle 9i,1
726,interact,0
1758,workflow management,0
2111,sonics,0
885,customer support application start date/ time,0
972,Mac platforms,0
717,subsystems,1
912,done,0
587,Team building skills,0
268,c-shell,1
807,competence,0
951,ism,0
931,web-server management,0
1147,editorial,1
2025,mercury winrunner,0
752,web-programs,1
109,March,0
1691,accusoft corp.,0
1220,microsoft c,1
440,French,0
1010,Windows Active Directory,1
301,design engineer,0
350,Valgrind,1
2347,nelly sedrakyan,0
1331,oracle developer,0
160,Java,1
1225,information technology officer start date/ time,0
28,application procedures,0
404,unit manager,0
57,outline,0
81,coded-ui,1
539,high quality software products,1
2490,desired qua,0
495,sos children,0
1515,gallery systems cjsc title,0
2029,ararat gold recovery company title,0
91,xml,1
16,Armenia DESCRIPTION,0
981,dbc_sse_0001 location,0
1428,heifer armenia title,0
937,equivalent University degree,0
113,Tuesday,0
1347,software engineer announcement code,0
835,MS Windows C++ development,1
201,tops bi title,0
1919,frontpage,0
222,jdbc,1
1739,server-client,0
812,htm/html,1
1408,food processing company,0
1315,pc,0
677,details,0
1081,implement,0
1360,squid,0
1158,aml/cft,1
580,uk,0
798,equivalent degree,0
749,software development methodology,1
607,MS Excel,1
21,career center,0
2051,soclass,0
